,subject,congruency,rt,acc,task
309,1,incongruent,0.367988769,1,flanker
310,1,congruent,0.368077365,1,flanker
311,1,congruent,0.518226142,1,flanker
312,1,incongruent,0.38436618,1,flanker
313,1,congruent,0.368084946,1,flanker
314,1,incongruent,0.41810094400000003,1,flanker
315,1,incongruent,0.401468755,1,flanker
316,1,congruent,0.38475506200000004,1,flanker
317,1,incongruent,0.401461484,1,flanker
318,1,incongruent,0.38473773699999997,1,flanker
319,1,incongruent,0.384652291,1,flanker
320,1,incongruent,0.351338417,1,flanker
321,1,congruent,0.48481896799999996,1,flanker
322,1,congruent,0.384605232,1,flanker
323,1,incongruent,0.317863041,1,flanker
324,1,incongruent,0.36797008,1,flanker
325,1,incongruent,0.401293731,1,flanker
326,1,congruent,0.451500473,1,flanker
327,1,incongruent,0.468109964,1,flanker
328,1,congruent,0.368034994,1,flanker
329,1,congruent,0.45146430400000004,1,flanker
330,1,congruent,0.384654532,1,flanker
331,1,congruent,0.40145824900000004,1,flanker
332,1,congruent,0.33471981,1,flanker
333,1,congruent,0.384640814,1,flanker
334,1,incongruent,0.384673655,1,flanker
335,1,congruent,0.30131291499999996,1,flanker
336,10,congruent,0.584975186,1,flanker
337,10,incongruent,0.468086384,1,flanker
338,10,incongruent,0.451492171,1,flanker
339,10,incongruent,0.36803662600000003,1,flanker
340,10,congruent,0.40138080400000004,1,flanker
341,10,incongruent,0.367989941,0,flanker
342,10,congruent,0.451430363,1,flanker
343,10,incongruent,0.468048271,1,flanker
344,10,incongruent,0.384770318,1,flanker
345,10,congruent,0.401475409,1,flanker
346,10,congruent,0.48479268400000003,1,flanker
347,10,congruent,0.401395015,1,flanker
348,10,congruent,0.384748168,1,flanker
349,10,congruent,0.418121148,1,flanker
350,10,incongruent,0.401342415,1,flanker
351,10,incongruent,0.501480978,1,flanker
352,10,incongruent,0.534849351,1,flanker
353,10,congruent,0.367976697,1,flanker
354,10,incongruent,0.418005649,1,flanker
355,10,congruent,0.384745391,1,flanker
356,10,congruent,0.351350211,1,flanker
357,10,congruent,0.33467933299999997,1,flanker
358,10,congruent,0.33470646,1,flanker
359,10,incongruent,0.418036721,1,flanker
360,10,congruent,0.401400824,1,flanker
361,10,congruent,0.534937429,1,flanker
362,10,incongruent,0.351158065,0,flanker
363,10,congruent,0.434748762,1,flanker
364,10,incongruent,0.484835348,1,flanker
365,10,incongruent,0.45140377,1,flanker
366,10,incongruent,0.434816896,1,flanker
367,10,congruent,0.40135196,1,flanker
368,10,incongruent,0.451187225,1,flanker
369,10,incongruent,0.46814289800000003,1,flanker
370,10,congruent,0.36803552,1,flanker
371,10,congruent,0.351392043,1,flanker
372,10,incongruent,0.35129083000000005,0,flanker
373,10,incongruent,0.368006467,1,flanker
374,10,congruent,0.334680613,1,flanker
375,10,incongruent,0.36802071999999997,1,flanker
376,10,incongruent,0.351394363,0,flanker
377,10,congruent,0.401445718,1,flanker
378,10,incongruent,0.501520364,1,flanker
379,10,incongruent,0.501493627,1,flanker
380,10,incongruent,0.484763928,1,flanker
381,10,congruent,0.401390272,1,flanker
382,10,congruent,0.401429021,1,flanker
383,10,congruent,0.434809073,1,flanker
384,10,congruent,0.40130905,1,flanker
385,10,incongruent,0.351369772,0,flanker
386,10,incongruent,0.43478473,1,flanker
